ExonType	WEFRange	Junction	OccurenceRange	OccureneceTotal	OccureneceFreq
cons_cons	0.5_0.75	CC	0.601_0.7	104	0.109
cons_cons	0.5_0.75	CC	0_0.1	2	0.002
cons_cons	0.5_0.75	CC	0.901_1.0	587	0.613
cons_cons	0.5_0.75	CC	0.201_0.3	16	0.017
cons_cons	0.5_0.75	CC	0.801_0.9	53	0.055
cons_cons	0.5_0.75	CC	0.301_0.4	55	0.057
cons_cons	0.5_0.75	CC	0.101_0.2	9	0.009
cons_cons	0.5_0.75	CC	0.701_0.8	66	0.069
cons_cons	0.5_0.75	CC	0.501_0.6	22	0.023
cons_cons	0.5_0.75	CC	0.401_0.5	44	0.046
cons_cons	0.5_0.75	EE	0.601_0.7	27	0.144
cons_cons	0.5_0.75	EE	0_0.1	0	0.0
cons_cons	0.5_0.75	EE	0.901_1.0	78	0.417
cons_cons	0.5_0.75	EE	0.201_0.3	8	0.043
cons_cons	0.5_0.75	EE	0.801_0.9	6	0.032
cons_cons	0.5_0.75	EE	0.301_0.4	25	0.134
cons_cons	0.5_0.75	EE	0.101_0.2	11	0.059
cons_cons	0.5_0.75	EE	0.701_0.8	12	0.064
cons_cons	0.5_0.75	EE	0.501_0.6	6	0.032
cons_cons	0.5_0.75	EE	0.401_0.5	14	0.075
cons_cons	0.5_0.75	HH	0.601_0.7	59	0.094
cons_cons	0.5_0.75	HH	0_0.1	1	0.002
cons_cons	0.5_0.75	HH	0.901_1.0	380	0.606
cons_cons	0.5_0.75	HH	0.201_0.3	9	0.014
cons_cons	0.5_0.75	HH	0.801_0.9	36	0.057
cons_cons	0.5_0.75	HH	0.301_0.4	42	0.067
cons_cons	0.5_0.75	HH	0.101_0.2	6	0.01
cons_cons	0.5_0.75	HH	0.701_0.8	44	0.07
cons_cons	0.5_0.75	HH	0.501_0.6	25	0.04
cons_cons	0.5_0.75	HH	0.401_0.5	25	0.04
cons_cons	0.25_0.5	CC	0.601_0.7	48	0.077
cons_cons	0.25_0.5	CC	0_0.1	0	0.0
cons_cons	0.25_0.5	CC	0.901_1.0	436	0.695
cons_cons	0.25_0.5	CC	0.201_0.3	8	0.013
cons_cons	0.25_0.5	CC	0.801_0.9	23	0.037
cons_cons	0.25_0.5	CC	0.301_0.4	21	0.033
cons_cons	0.25_0.5	CC	0.101_0.2	5	0.008
cons_cons	0.25_0.5	CC	0.701_0.8	46	0.073
cons_cons	0.25_0.5	CC	0.501_0.6	16	0.026
cons_cons	0.25_0.5	CC	0.401_0.5	24	0.038
cons_cons	0.25_0.5	EE	0.601_0.7	15	0.132
cons_cons	0.25_0.5	EE	0_0.1	2	0.018
cons_cons	0.25_0.5	EE	0.901_1.0	40	0.351
cons_cons	0.25_0.5	EE	0.201_0.3	6	0.053
cons_cons	0.25_0.5	EE	0.801_0.9	1	0.009
cons_cons	0.25_0.5	EE	0.301_0.4	15	0.132
cons_cons	0.25_0.5	EE	0.101_0.2	9	0.079
cons_cons	0.25_0.5	EE	0.701_0.8	8	0.07
cons_cons	0.25_0.5	EE	0.501_0.6	6	0.053
cons_cons	0.25_0.5	EE	0.401_0.5	12	0.105
cons_cons	0.25_0.5	HH	0.601_0.7	40	0.117
cons_cons	0.25_0.5	HH	0_0.1	0	0.0
cons_cons	0.25_0.5	HH	0.901_1.0	205	0.598
cons_cons	0.25_0.5	HH	0.201_0.3	7	0.02
cons_cons	0.25_0.5	HH	0.801_0.9	9	0.026
cons_cons	0.25_0.5	HH	0.301_0.4	15	0.044
cons_cons	0.25_0.5	HH	0.101_0.2	8	0.023
cons_cons	0.25_0.5	HH	0.701_0.8	25	0.073
cons_cons	0.25_0.5	HH	0.501_0.6	12	0.035
cons_cons	0.25_0.5	HH	0.401_0.5	22	0.064
cons_cons	0.75_1.01	CC	0.601_0.7	2534	0.086
cons_cons	0.75_1.01	CC	0_0.1	69	0.002
cons_cons	0.75_1.01	CC	0.901_1.0	15437	0.521
cons_cons	0.75_1.01	CC	0.201_0.3	786	0.027
cons_cons	0.75_1.01	CC	0.801_0.9	2222	0.075
cons_cons	0.75_1.01	CC	0.301_0.4	1769	0.06
cons_cons	0.75_1.01	CC	0.101_0.2	625	0.021
cons_cons	0.75_1.01	CC	0.701_0.8	2896	0.098
cons_cons	0.75_1.01	CC	0.501_0.6	1348	0.045
cons_cons	0.75_1.01	CC	0.401_0.5	1943	0.066
cons_cons	0.75_1.01	EE	0.601_0.7	710	0.119
cons_cons	0.75_1.01	EE	0_0.1	57	0.01
cons_cons	0.75_1.01	EE	0.901_1.0	1438	0.241
cons_cons	0.75_1.01	EE	0.201_0.3	458	0.077
cons_cons	0.75_1.01	EE	0.801_0.9	364	0.061
cons_cons	0.75_1.01	EE	0.301_0.4	920	0.154
cons_cons	0.75_1.01	EE	0.101_0.2	413	0.069
cons_cons	0.75_1.01	EE	0.701_0.8	572	0.096
cons_cons	0.75_1.01	EE	0.501_0.6	360	0.06
cons_cons	0.75_1.01	EE	0.401_0.5	668	0.112
cons_cons	0.75_1.01	HH	0.601_0.7	1754	0.099
cons_cons	0.75_1.01	HH	0_0.1	78	0.004
cons_cons	0.75_1.01	HH	0.901_1.0	7885	0.444
cons_cons	0.75_1.01	HH	0.201_0.3	676	0.038
cons_cons	0.75_1.01	HH	0.801_0.9	1329	0.075
cons_cons	0.75_1.01	HH	0.301_0.4	1304	0.073
cons_cons	0.75_1.01	HH	0.101_0.2	486	0.027
cons_cons	0.75_1.01	HH	0.701_0.8	1905	0.107
cons_cons	0.75_1.01	HH	0.501_0.6	961	0.054
cons_cons	0.75_1.01	HH	0.401_0.5	1398	0.079
cons_cons	0_0.25	CC	0.601_0.7	11	0.057
cons_cons	0_0.25	CC	0_0.1	0	0.0
cons_cons	0_0.25	CC	0.901_1.0	150	0.781
cons_cons	0_0.25	CC	0.201_0.3	1	0.005
cons_cons	0_0.25	CC	0.801_0.9	3	0.016
cons_cons	0_0.25	CC	0.301_0.4	7	0.036
cons_cons	0_0.25	CC	0.101_0.2	2	0.01
cons_cons	0_0.25	CC	0.701_0.8	9	0.047
cons_cons	0_0.25	CC	0.501_0.6	2	0.01
cons_cons	0_0.25	CC	0.401_0.5	7	0.036
cons_cons	0_0.25	EE	0.601_0.7	6	0.158
cons_cons	0_0.25	EE	0_0.1	0	0.0
cons_cons	0_0.25	EE	0.901_1.0	16	0.421
cons_cons	0_0.25	EE	0.201_0.3	2	0.053
cons_cons	0_0.25	EE	0.801_0.9	0	0.0
cons_cons	0_0.25	EE	0.301_0.4	10	0.263
cons_cons	0_0.25	EE	0.101_0.2	1	0.026
cons_cons	0_0.25	EE	0.701_0.8	1	0.026
cons_cons	0_0.25	EE	0.501_0.6	0	0.0
cons_cons	0_0.25	EE	0.401_0.5	2	0.053
cons_cons	0_0.25	HH	0.601_0.7	10	0.096
cons_cons	0_0.25	HH	0_0.1	0	0.0
cons_cons	0_0.25	HH	0.901_1.0	69	0.663
cons_cons	0_0.25	HH	0.201_0.3	1	0.01
cons_cons	0_0.25	HH	0.801_0.9	1	0.01
cons_cons	0_0.25	HH	0.301_0.4	9	0.087
cons_cons	0_0.25	HH	0.101_0.2	1	0.01
cons_cons	0_0.25	HH	0.701_0.8	7	0.067
cons_cons	0_0.25	HH	0.501_0.6	3	0.029
cons_cons	0_0.25	HH	0.401_0.5	3	0.029
alt_alt	0_0.25	EE	0.601_0.7	14	0.147
alt_alt	0_0.25	EE	0_0.1	0	0.0
alt_alt	0_0.25	EE	0.901_1.0	43	0.453
alt_alt	0_0.25	EE	0.201_0.3	1	0.011
alt_alt	0_0.25	EE	0.801_0.9	2	0.021
alt_alt	0_0.25	EE	0.301_0.4	17	0.179
alt_alt	0_0.25	EE	0.101_0.2	3	0.032
alt_alt	0_0.25	EE	0.701_0.8	6	0.063
alt_alt	0_0.25	EE	0.501_0.6	3	0.032
alt_alt	0_0.25	EE	0.401_0.5	6	0.063
alt_alt	0_0.25	CC	0.601_0.7	63	0.086
alt_alt	0_0.25	CC	0_0.1	0	0.0
alt_alt	0_0.25	CC	0.901_1.0	548	0.745
alt_alt	0_0.25	CC	0.201_0.3	15	0.02
alt_alt	0_0.25	CC	0.801_0.9	12	0.016
alt_alt	0_0.25	CC	0.301_0.4	20	0.027
alt_alt	0_0.25	CC	0.101_0.2	4	0.005
alt_alt	0_0.25	CC	0.701_0.8	39	0.053
alt_alt	0_0.25	CC	0.501_0.6	10	0.014
alt_alt	0_0.25	CC	0.401_0.5	25	0.034
alt_alt	0_0.25	HH	0.601_0.7	35	0.108
alt_alt	0_0.25	HH	0_0.1	0	0.0
alt_alt	0_0.25	HH	0.901_1.0	204	0.628
alt_alt	0_0.25	HH	0.201_0.3	8	0.025
alt_alt	0_0.25	HH	0.801_0.9	5	0.015
alt_alt	0_0.25	HH	0.301_0.4	30	0.092
alt_alt	0_0.25	HH	0.101_0.2	7	0.022
alt_alt	0_0.25	HH	0.701_0.8	19	0.058
alt_alt	0_0.25	HH	0.501_0.6	4	0.012
alt_alt	0_0.25	HH	0.401_0.5	13	0.04
alt_alt	0.25_0.5	CC	0.601_0.7	169	0.067
alt_alt	0.25_0.5	CC	0_0.1	2	0.001
alt_alt	0.25_0.5	CC	0.901_1.0	1720	0.679
alt_alt	0.25_0.5	CC	0.201_0.3	41	0.016
alt_alt	0.25_0.5	CC	0.801_0.9	117	0.046
alt_alt	0.25_0.5	CC	0.301_0.4	116	0.046
alt_alt	0.25_0.5	CC	0.101_0.2	32	0.013
alt_alt	0.25_0.5	CC	0.701_0.8	162	0.064
alt_alt	0.25_0.5	CC	0.501_0.6	66	0.026
alt_alt	0.25_0.5	CC	0.401_0.5	107	0.042
alt_alt	0.25_0.5	EE	0.601_0.7	54	0.129
alt_alt	0.25_0.5	EE	0_0.1	9	0.021
alt_alt	0.25_0.5	EE	0.901_1.0	145	0.345
alt_alt	0.25_0.5	EE	0.201_0.3	22	0.052
alt_alt	0.25_0.5	EE	0.801_0.9	17	0.04
alt_alt	0.25_0.5	EE	0.301_0.4	56	0.133
alt_alt	0.25_0.5	EE	0.101_0.2	29	0.069
alt_alt	0.25_0.5	EE	0.701_0.8	31	0.074
alt_alt	0.25_0.5	EE	0.501_0.6	17	0.04
alt_alt	0.25_0.5	EE	0.401_0.5	40	0.095
alt_alt	0.25_0.5	HH	0.601_0.7	139	0.108
alt_alt	0.25_0.5	HH	0_0.1	6	0.005
alt_alt	0.25_0.5	HH	0.901_1.0	663	0.516
alt_alt	0.25_0.5	HH	0.201_0.3	36	0.028
alt_alt	0.25_0.5	HH	0.801_0.9	60	0.047
alt_alt	0.25_0.5	HH	0.301_0.4	95	0.074
alt_alt	0.25_0.5	HH	0.101_0.2	29	0.023
alt_alt	0.25_0.5	HH	0.701_0.8	111	0.086
alt_alt	0.25_0.5	HH	0.501_0.6	52	0.04
alt_alt	0.25_0.5	HH	0.401_0.5	93	0.072
alt_alt	0.75_1.01	CC	0.601_0.7	390	0.058
alt_alt	0.75_1.01	CC	0_0.1	16	0.002
alt_alt	0.75_1.01	CC	0.901_1.0	3380	0.505
alt_alt	0.75_1.01	CC	0.201_0.3	232	0.035
alt_alt	0.75_1.01	CC	0.801_0.9	699	0.105
alt_alt	0.75_1.01	CC	0.301_0.4	263	0.039
alt_alt	0.75_1.01	CC	0.101_0.2	161	0.024
alt_alt	0.75_1.01	CC	0.701_0.8	696	0.104
alt_alt	0.75_1.01	CC	0.501_0.6	386	0.058
alt_alt	0.75_1.01	CC	0.401_0.5	465	0.07
alt_alt	0.75_1.01	EE	0.601_0.7	98	0.08
alt_alt	0.75_1.01	EE	0_0.1	21	0.017
alt_alt	0.75_1.01	EE	0.901_1.0	254	0.208
alt_alt	0.75_1.01	EE	0.201_0.3	151	0.124
alt_alt	0.75_1.01	EE	0.801_0.9	100	0.082
alt_alt	0.75_1.01	EE	0.301_0.4	145	0.119
alt_alt	0.75_1.01	EE	0.101_0.2	100	0.082
alt_alt	0.75_1.01	EE	0.701_0.8	115	0.094
alt_alt	0.75_1.01	EE	0.501_0.6	73	0.06
alt_alt	0.75_1.01	EE	0.401_0.5	162	0.133
alt_alt	0.75_1.01	HH	0.601_0.7	245	0.061
alt_alt	0.75_1.01	HH	0_0.1	17	0.004
alt_alt	0.75_1.01	HH	0.901_1.0	1769	0.441
alt_alt	0.75_1.01	HH	0.201_0.3	186	0.046
alt_alt	0.75_1.01	HH	0.801_0.9	427	0.107
alt_alt	0.75_1.01	HH	0.301_0.4	242	0.06
alt_alt	0.75_1.01	HH	0.101_0.2	118	0.029
alt_alt	0.75_1.01	HH	0.701_0.8	457	0.114
alt_alt	0.75_1.01	HH	0.501_0.6	228	0.057
alt_alt	0.75_1.01	HH	0.401_0.5	318	0.079
alt_alt	0.5_0.75	CC	0.601_0.7	443	0.091
alt_alt	0.5_0.75	CC	0_0.1	10	0.002
alt_alt	0.5_0.75	CC	0.901_1.0	2670	0.547
alt_alt	0.5_0.75	CC	0.201_0.3	115	0.024
alt_alt	0.5_0.75	CC	0.801_0.9	335	0.069
alt_alt	0.5_0.75	CC	0.301_0.4	319	0.065
alt_alt	0.5_0.75	CC	0.101_0.2	92	0.019
alt_alt	0.5_0.75	CC	0.701_0.8	429	0.088
alt_alt	0.5_0.75	CC	0.501_0.6	204	0.042
alt_alt	0.5_0.75	CC	0.401_0.5	266	0.054
alt_alt	0.5_0.75	EE	0.601_0.7	85	0.097
alt_alt	0.5_0.75	EE	0_0.1	15	0.017
alt_alt	0.5_0.75	EE	0.901_1.0	229	0.262
alt_alt	0.5_0.75	EE	0.201_0.3	84	0.096
alt_alt	0.5_0.75	EE	0.801_0.9	60	0.069
alt_alt	0.5_0.75	EE	0.301_0.4	143	0.164
alt_alt	0.5_0.75	EE	0.101_0.2	51	0.058
alt_alt	0.5_0.75	EE	0.701_0.8	87	0.1
alt_alt	0.5_0.75	EE	0.501_0.6	41	0.047
alt_alt	0.5_0.75	EE	0.401_0.5	79	0.09
alt_alt	0.5_0.75	HH	0.601_0.7	268	0.093
alt_alt	0.5_0.75	HH	0_0.1	5	0.002
alt_alt	0.5_0.75	HH	0.901_1.0	1425	0.494
alt_alt	0.5_0.75	HH	0.201_0.3	82	0.028
alt_alt	0.5_0.75	HH	0.801_0.9	242	0.084
alt_alt	0.5_0.75	HH	0.301_0.4	215	0.074
alt_alt	0.5_0.75	HH	0.101_0.2	74	0.026
alt_alt	0.5_0.75	HH	0.701_0.8	264	0.091
alt_alt	0.5_0.75	HH	0.501_0.6	101	0.035
alt_alt	0.5_0.75	HH	0.401_0.5	210	0.073
cons_alt	0_0.25	CC	0.601_0.7	33	0.081
cons_alt	0_0.25	CC	0_0.1	0	0.0
cons_alt	0_0.25	CC	0.901_1.0	306	0.748
cons_alt	0_0.25	CC	0.201_0.3	5	0.012
cons_alt	0_0.25	CC	0.801_0.9	4	0.01
cons_alt	0_0.25	CC	0.301_0.4	23	0.056
cons_alt	0_0.25	CC	0.101_0.2	1	0.002
cons_alt	0_0.25	CC	0.701_0.8	22	0.054
cons_alt	0_0.25	CC	0.501_0.6	6	0.015
cons_alt	0_0.25	CC	0.401_0.5	9	0.022
cons_alt	0_0.25	EE	0.601_0.7	8	0.174
cons_alt	0_0.25	EE	0_0.1	0	0.0
cons_alt	0_0.25	EE	0.901_1.0	22	0.478
cons_alt	0_0.25	EE	0.201_0.3	1	0.022
cons_alt	0_0.25	EE	0.801_0.9	0	0.0
cons_alt	0_0.25	EE	0.301_0.4	8	0.174
cons_alt	0_0.25	EE	0.101_0.2	4	0.087
cons_alt	0_0.25	EE	0.701_0.8	2	0.043
cons_alt	0_0.25	EE	0.501_0.6	1	0.022
cons_alt	0_0.25	EE	0.401_0.5	0	0.0
cons_alt	0_0.25	HH	0.601_0.7	16	0.084
cons_alt	0_0.25	HH	0_0.1	0	0.0
cons_alt	0_0.25	HH	0.901_1.0	124	0.653
cons_alt	0_0.25	HH	0.201_0.3	6	0.032
cons_alt	0_0.25	HH	0.801_0.9	3	0.016
cons_alt	0_0.25	HH	0.301_0.4	15	0.079
cons_alt	0_0.25	HH	0.101_0.2	5	0.026
cons_alt	0_0.25	HH	0.701_0.8	8	0.042
cons_alt	0_0.25	HH	0.501_0.6	5	0.026
cons_alt	0_0.25	HH	0.401_0.5	8	0.042
cons_alt	0.25_0.5	CC	0.601_0.7	106	0.074
cons_alt	0.25_0.5	CC	0_0.1	0	0.0
cons_alt	0.25_0.5	CC	0.901_1.0	999	0.697
cons_alt	0.25_0.5	CC	0.201_0.3	24	0.017
cons_alt	0.25_0.5	CC	0.801_0.9	45	0.031
cons_alt	0.25_0.5	CC	0.301_0.4	72	0.05
cons_alt	0.25_0.5	CC	0.101_0.2	15	0.01
cons_alt	0.25_0.5	CC	0.701_0.8	87	0.061
cons_alt	0.25_0.5	CC	0.501_0.6	29	0.02
cons_alt	0.25_0.5	CC	0.401_0.5	57	0.04
cons_alt	0.25_0.5	EE	0.601_0.7	24	0.098
cons_alt	0.25_0.5	EE	0_0.1	1	0.004
cons_alt	0.25_0.5	EE	0.901_1.0	93	0.38
cons_alt	0.25_0.5	EE	0.201_0.3	17	0.069
cons_alt	0.25_0.5	EE	0.801_0.9	4	0.016
cons_alt	0.25_0.5	EE	0.301_0.4	38	0.155
cons_alt	0.25_0.5	EE	0.101_0.2	13	0.053
cons_alt	0.25_0.5	EE	0.701_0.8	21	0.086
cons_alt	0.25_0.5	EE	0.501_0.6	12	0.049
cons_alt	0.25_0.5	EE	0.401_0.5	22	0.09
cons_alt	0.25_0.5	HH	0.601_0.7	61	0.078
cons_alt	0.25_0.5	HH	0_0.1	2	0.003
cons_alt	0.25_0.5	HH	0.901_1.0	445	0.568
cons_alt	0.25_0.5	HH	0.201_0.3	21	0.027
cons_alt	0.25_0.5	HH	0.801_0.9	21	0.027
cons_alt	0.25_0.5	HH	0.301_0.4	69	0.088
cons_alt	0.25_0.5	HH	0.101_0.2	14	0.018
cons_alt	0.25_0.5	HH	0.701_0.8	84	0.107
cons_alt	0.25_0.5	HH	0.501_0.6	21	0.027
cons_alt	0.25_0.5	HH	0.401_0.5	45	0.057
cons_alt	0.75_1.01	CC	0.601_0.7	215	0.057
cons_alt	0.75_1.01	CC	0_0.1	16	0.004
cons_alt	0.75_1.01	CC	0.901_1.0	1932	0.511
cons_alt	0.75_1.01	CC	0.201_0.3	135	0.036
cons_alt	0.75_1.01	CC	0.801_0.9	382	0.101
cons_alt	0.75_1.01	CC	0.301_0.4	167	0.044
cons_alt	0.75_1.01	CC	0.101_0.2	77	0.02
cons_alt	0.75_1.01	CC	0.701_0.8	385	0.102
cons_alt	0.75_1.01	CC	0.501_0.6	197	0.052
cons_alt	0.75_1.01	CC	0.401_0.5	276	0.073
cons_alt	0.75_1.01	EE	0.601_0.7	44	0.061
cons_alt	0.75_1.01	EE	0_0.1	13	0.018
cons_alt	0.75_1.01	EE	0.901_1.0	152	0.211
cons_alt	0.75_1.01	EE	0.201_0.3	63	0.087
cons_alt	0.75_1.01	EE	0.801_0.9	51	0.071
cons_alt	0.75_1.01	EE	0.301_0.4	77	0.107
cons_alt	0.75_1.01	EE	0.101_0.2	82	0.114
cons_alt	0.75_1.01	EE	0.701_0.8	80	0.111
cons_alt	0.75_1.01	EE	0.501_0.6	64	0.089
cons_alt	0.75_1.01	EE	0.401_0.5	95	0.132
cons_alt	0.75_1.01	HH	0.601_0.7	166	0.072
cons_alt	0.75_1.01	HH	0_0.1	20	0.009
cons_alt	0.75_1.01	HH	0.901_1.0	977	0.423
cons_alt	0.75_1.01	HH	0.201_0.3	110	0.048
cons_alt	0.75_1.01	HH	0.801_0.9	234	0.101
cons_alt	0.75_1.01	HH	0.301_0.4	123	0.053
cons_alt	0.75_1.01	HH	0.101_0.2	76	0.033
cons_alt	0.75_1.01	HH	0.701_0.8	285	0.123
cons_alt	0.75_1.01	HH	0.501_0.6	127	0.055
cons_alt	0.75_1.01	HH	0.401_0.5	193	0.084
cons_alt	0.5_0.75	CC	0.601_0.7	296	0.094
cons_alt	0.5_0.75	CC	0_0.1	6	0.002
cons_alt	0.5_0.75	CC	0.901_1.0	2012	0.637
cons_alt	0.5_0.75	CC	0.201_0.3	40	0.013
cons_alt	0.5_0.75	CC	0.801_0.9	172	0.054
cons_alt	0.5_0.75	CC	0.301_0.4	175	0.055
cons_alt	0.5_0.75	CC	0.101_0.2	34	0.011
cons_alt	0.5_0.75	CC	0.701_0.8	210	0.066
cons_alt	0.5_0.75	CC	0.501_0.6	95	0.03
cons_alt	0.5_0.75	CC	0.401_0.5	118	0.037
cons_alt	0.5_0.75	EE	0.601_0.7	78	0.13
cons_alt	0.5_0.75	EE	0_0.1	7	0.012
cons_alt	0.5_0.75	EE	0.901_1.0	193	0.321
cons_alt	0.5_0.75	EE	0.201_0.3	33	0.055
cons_alt	0.5_0.75	EE	0.801_0.9	22	0.037
cons_alt	0.5_0.75	EE	0.301_0.4	106	0.176
cons_alt	0.5_0.75	EE	0.101_0.2	32	0.053
cons_alt	0.5_0.75	EE	0.701_0.8	46	0.076
cons_alt	0.5_0.75	EE	0.501_0.6	32	0.053
cons_alt	0.5_0.75	EE	0.401_0.5	53	0.088
cons_alt	0.5_0.75	HH	0.601_0.7	232	0.129
cons_alt	0.5_0.75	HH	0_0.1	6	0.003
cons_alt	0.5_0.75	HH	0.901_1.0	909	0.504
cons_alt	0.5_0.75	HH	0.201_0.3	54	0.03
cons_alt	0.5_0.75	HH	0.801_0.9	98	0.054
cons_alt	0.5_0.75	HH	0.301_0.4	156	0.086
cons_alt	0.5_0.75	HH	0.101_0.2	43	0.024
cons_alt	0.5_0.75	HH	0.701_0.8	146	0.081
cons_alt	0.5_0.75	HH	0.501_0.6	68	0.038
cons_alt	0.5_0.75	HH	0.401_0.5	92	0.051
